unit,group,subgroup,doubtful
"FBMH Planning, Compliance and Governance",FBMH,Faculty Office,
FBMH Research and Innovation,FBMH,Faculty Office,
FBMH Social Responsibility,FBMH,Faculty Office,
"FBMH Teach, Learn and Student Experience",FBMH,Faculty Office,
FBMH Technical Services,FBMH,Faculty Office,
FSE Communication and Marketing,FSE,Faculty Office,
FSE Faculty Office - Dean,FSE,Faculty Office,
FSE Faculty Office - General,FSE,Faculty Office,
"FSE Planning, Compliance & Spec Projects",FSE,Faculty Office,
FSE Research & Business Services,FSE,Faculty Office,
"FSE Teach, Learn and Student Experience",FSE,Faculty Office,
FSE Technical Services,FSE,Faculty Office,
Facilities Maintenance and Compliance,Professional Services,Estates,
Faculty Office - BMH - Administration,FBMH,Faculty Office,
Financial Analysis and Reporting,Professional Services,Finance,
Financial Services,Professional Services,Finance,
Future Foundations,Professional Services,Student and Campus Services,
Geography,Humanities,School of Environment Education and Development,
Global Development Institute,Humanities,School of Environment Education and Development,
Graphene Engineering Innovation Centre,FSE,Cross-faculty Research Institutes,
History,Humanities,School of Arts Languages and Cultures,
Hospitality and Events,Professional Services,Estates,
House Services,Professional Services,Estates,
Humanitarian and Conflict Response Inst,Humanities,School of Social Sciences,
Humanities Dean`s Office,Humanities,Faculty Office,
Humanities Marketing and Communications,Humanities,Faculty Office,
Humanities Postgraduate Support Services,Humanities,Faculty Office,
Humanities Research and Business Engage,Humanities,Faculty Office,
Humanities Technical Operations,Humanities,Faculty Office,
"Humanities-Teaching, Learn & Student Exp",Humanities,Faculty Office,
IT Services Research IT,Professional Services,IT and Digital,
"Immunol, Immunity to Infect & Resp Medic",FBMH,School of Biological Sciences,
Information Governance,Professional Services,IT and Digital,
Information Security,Professional Services,IT and Digital,
Innovation Management and Policy,Professional Services,Research and Business Engagement,
International Development,Professional Services,Student and Campus Services,
JBCE Directors Office,Professional Services,Library and Cultural Institutions,
JBCE Education,Professional Services,Library and Cultural Institutions,
JBCE Marketing,Professional Services,Library and Cultural Institutions,
JBCE Operations,Professional Services,Library and Cultural Institutions,
JBCE Public Engagement,Professional Services,Library and Cultural Institutions,
JBCE Retail,Professional Services,Library and Cultural Institutions,
John Rylands Research Institute,Humanities,Library and Cultural Institutions,
Law,Humanities,School of Social Sciences,
Leadership,Professional Services,People and OD,
Learning & Participation,Professional Services,Library and Cultural Institutions,
Legal Affairs,Professional Services,Governance and Executive,
Linguistics and English Language,Humanities,School of Arts Languages and Cultures,
MBA and Global Programmes,Humanities,Alliance Manchester Business School,
Management Sciences and Marketing,Humanities,Alliance Manchester Business School,
Manchester Cancer Research Centre,FBMH,Cross-faculty Research Institutes,
Manchester China Institute,Humanities,Cross-faculty Research Institutes,
Manchester Institute of Biotechnology,FSE,Cross-faculty Research Institutes,
Manchester University Press,Professional Services,Library and Cultural Institutions,
Manchester Urban Institute,Humanities,Cross-faculty Research Institutes,
Masood Entrepreneurship Centre,Humanities,Alliance Manchester Business School,
Mcr Institute of Innovation Research,Humanities,Alliance Manchester Business School,
Media Services,Professional Services,Communications and Marketing,
Modern Languages and Cultures,Humanities,School of Arts Languages and Cultures,
Museum Development North,Professional Services,Library and Cultural Institutions,
Music,Humanities,School of Arts Languages and Cultures,
National Biomarker Centre,FBMH,Cross-faculty Research Institutes,
National Graphene Institute,FSE,Cross-faculty Research Institutes,
Office for Social Responsibility,Professional Services,Research and Business Engagement,
Office of the Chief Information Officer,Professional Services,IT and Digital,
Organisational Effectiveness and Culture,Professional Services,People and OD,
Partnering Team,Professional Services,Research and Business Engagement,
Partnerships and Engagement,Professional Services,Research and Business Engagement,
People Management and Organisations,Professional Services,People and OD,
People Partners,Professional Services,People and OD,
People Services,Professional Services,People and OD,
Philosophy,Humanities,School of Arts Languages and Cultures,
Photon Science Institute,FSE,Cross-faculty Research Institutes,
Planning,Professional Services,Governance and Executive,
"Planning, Property and Env Man",Humanities,School of Environment Education and Development,
Policy @ Manchester,Professional Services,Research and Business Engagement,
Politics,Humanities,School of Social Sciences,
President and Vice Chancellor Office,Professional Services,Governance and Executive,
Procurement,Professional Services,Finance,
Productivity Institute,Humanities,Cross-faculty Research Institutes,
Projects Team,Professional Services,IT and Digital,
"Psych, Comm, Human Neuroscience",FBMH,School of Health Sciences,
Radiological Protection Services,Professional Services,Estates,
Registrar Secretary and COO Office,Professional Services,Governance and Executive,
Religions and Theology,Humanities,School of Arts Languages and Cultures,
Research Services,Professional Services,Research and Business Engagement,
Research Services Project Funding,Professional Services,Research and Business Engagement,
Residential and Sport Services Division,Professional Services,Student and Campus Services,
"Reward, Benefits and Pensions",Professional Services,People and OD,
SEED Administration,Humanities,School of Environment Education and Development,
SEED Research Centres,Humanities,School of Environment Education and Development,
Safety Services,Professional Services,Estates,
School of Biological Sciences Admin,FBMH,School of Biological Sciences,
School of Engineering Administration,FSE,School of Engineering,
School of Health Sciences Administration,FBMH,School of Health Sciences,
School of Medical Sciences Admin,FBMH,School of Medical Sciences,
School of Natural Sciences Admin,FSE,School of Natural Sciences,
Sir Henry Royce Institute for Adv Mats,FSE,Cross-faculty Research Institutes,
SoSS Research Centres,Humanities,School of Social Sciences,
Social Anthropology,Humanities,School of Social Sciences,
Social Sciences Administration,Humanities,School of Social Sciences,
Social Statistics,Humanities,School of Social Sciences,
Sociology,Humanities,School of Social Sciences,
Special Collections,Professional Services,Library and Cultural Institutions,
Strategic Change Office,Professional Services,Governance and Executive,
Student Marketing,Professional Services,Communications and Marketing,
Student and Academic Services,Professional Services,Student and Campus Services,
Sustainable Consumption Institute,Humanities,Cross-faculty Research Institutes,
Talent Attraction,Professional Services,People and OD,
Talent Development,Professional Services,People and OD,
"Teaching, Learning & Student Development",Professional Services,People and OD,
Thomas Ashton Institute,Humanities,Cross-faculty Research Institutes,
UK Student Recruitment,Professional Services,Student and Campus Services,
Unit M,Professional Services,Research and Business Engagement,
University Centre for Academic English,Professional Services,Student and Campus Services,
University Librarian,Professional Services,Library and Cultural Institutions,
University Marketing,Professional Services,Communications and Marketing,
University of Manchester at Harwell,FSE,Cross-faculty Research Institutes,
Visitor Team,Professional Services,Library and Cultural Institutions,
Whitworth Art Gallery Administration,Professional Services,Library and Cultural Institutions,
